Baseyear,Type of school,Establishment classification,Region,Status,School,total,degree_subtotal,Humanities and social science field,Natural science field,Engineering field,Arts and physical education field,Medicine field,Students who co-operate curriculum(B),training_subtotal,Students for language course,Exchange students,Visiting students,Other trainees,No. of students above TOPIK Level 4 (art and physical education class 3),No. of students above TOEFL 530 (English track),English-speaking foreign students,Rate of students with satisfactory language proficiency (%)(E/A)x100
2023,University,Private,Chungcheongbuk-do,Previous,Far East University _Principal university,259,174,141,1,29,3,0,0,85,85,0,0,0,2,0,0,1.1
2023,University,Private,Seoul,Previous,GANGSEO UNIVERSITY _Principal university,516,478,478,0,0,0,0,0,38,38,0,0,0,3,187,3,40.4
2023,University,Private,Gyeonggi-do,Previous,Gachon University _Principal university,"2,743","2,412","1,940",46,208,218,0,0,331,264,67,0,0,605,151,0,31.3
2023,University,National,Gangwon-do,Previous,Gangneung Wonju National University _Campus 2,7,7,0,0,7,0,0,0,0,0,0,0,0,4,0,0,57.1
2023,University,National,Gangwon-do,Previous,Gangneung Wonju National University _Principal university,247,166,153,1,8,4,0,0,81,75,6,0,0,77,0,0,46.4
2023,University,Private,Chungcheongnam-do,Previous,Geumgang University _Principal university,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2023,University,Private,Gyeongsangbuk-do,Previous,Gimcheon University _Principal university,439,150,64,50,34,2,0,0,289,287,2,0,0,80,0,0,53.3
2023,Cyber University (University),Private,Chungcheongnam-do,Previous,Global Cyber University _Principal university,20,20,11,0,0,9,0,0,0,0,0,0,0,0,0,0,0
2023,Cyber University (University),Private,Gyeonggi-do,Previous,Gukje Cyber University _Principal university,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Special Act for corporation,Gwangju,Previous,Gwangju Institute Of Science And Technology _Principal university,34,26,0,16,10,0,0,0,8,0,8,0,0,0,21,0,80.8
2023,University,Private,Gwangju,Previous,Gwangju University _Principal university,320,185,177,1,2,5,0,4,131,131,0,0,0,47,0,0,25.4
2023,College of Education,National,Incheon,Previous,Gyeongin National University Of Education _Principal university,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2023,University,National,Gyeongsangnam-do,Previous,Gyeongsang National University _Principal university,205,119,96,13,10,0,0,0,86,45,41,0,0,57,0,0,47.9
2023,University,Private,Gangwon-do,Previous,Halla University _Principal university,278,116,102,0,4,10,0,0,162,162,0,0,0,12,0,0,10.3
2023,University,Private,Gangwon-do,Previous,Hallym University _Principal university,252,195,180,2,12,1,0,0,57,4,53,0,0,36,6,1,22.1
2023,University,National,Daejeon,Previous,Hanbat National University _Principal university,377,83,59,0,13,11,0,0,294,239,55,0,0,34,0,0,41
2023,University,Private,Gyeongsangbuk-do,Previous,Handong Global University _Principal university,193,144,121,0,23,0,0,6,43,0,43,0,0,11,62,13,59.7
2023,University,Private,Jeollabuk-do,Previous,Haniluniv.&Presb.Theol.Sem. _Principal university,142,7,7,0,0,0,0,0,135,135,0,0,0,2,1,0,42.9
2023,University,Private,Seoul,Previous,Hankuk University Of Foreign Studies _Principal university,"2,563","1,745","1,729",2,14,0,0,0,818,378,355,81,4,720,161,17,51.5
2023,University,National,Gyeonggi-do,Previous,Hankyong National University _Principal university,345,60,31,9,18,2,0,0,285,233,52,0,0,15,0,0,25
2023,University,Private,Daejeon,Previous,Hannam University _Principal university,859,373,320,4,35,14,0,0,486,486,0,0,0,117,14,0,35.1
2023,University,Private,Gyeonggi-do,Previous,Hansei University _Principal university,25,18,11,0,0,7,0,0,7,0,7,0,0,8,0,0,44.4
2023,University,Private,Chungcheongnam-do,Previous,Hanseo University _Principal university,243,180,100,13,15,52,0,0,63,49,14,0,0,39,0,0,21.7
2023,University,Private,Gyeonggi-do,Previous,Hanshin University _Principal university,315,315,296,0,19,0,0,0,0,0,0,0,0,42,0,0,13.3
2023,University,Private,Seoul,Previous,Hansung University _Principal university,380,265,100,0,6,159,0,0,115,107,8,0,0,203,0,0,76.6
2023,Cyber University (University),Private,Seoul,Previous,Hanyang Cyber University _Principal university,64,64,45,0,9,10,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Gyeonggi-do,Previous,Hanyang University Erica Campus _Branch campus,"2,102","1,631",822,20,277,512,0,0,471,220,168,83,0,535,12,0,33.5
2023,University,Private,Seoul,Previous,Hanyang University _Principal university,"3,451","2,006","1,242",90,342,332,0,0,"1,445","1,034",178,233,0,"1,230",117,21,68.2
2023,University,Private,Gwangju,Previous,Honam University _Principal university,921,767,611,9,40,107,0,0,154,89,65,0,0,189,0,0,24.6
2023,University,Private,Sejong,Previous,Hongik University _Campus 2,96,96,1,0,9,86,0,0,0,0,0,0,0,50,0,0,52.1
2023,University,Private,Seoul,Previous,Hongik University _Principal university,"1,562","1,094",50,0,55,989,0,0,468,367,100,1,0,751,0,0,68.6
2023,University,Private,Chungcheongnam-do,Previous,Hoseo University _Principal university,407,266,90,15,28,133,0,0,141,131,10,0,0,78,0,0,29.3
2023,Industrial University,Private,Jeollabuk-do,Previous,Howon University _Principal university,917,365,190,44,84,47,0,0,552,552,0,0,0,34,0,0,9.3
2023,Cyber University (University),Private,Busan,Previous,Hwashin Cyber University _Principal university,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,University,Private,Gyeonggi-do,Previous,Hyupsunguniversity _Principal university,29,29,29,0,0,0,0,0,0,0,0,0,0,18,0,0,62.1
2023,University,Private,Incheon,Previous,Incheon Catholic University _Principal university,4,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,50
2023,University,National university corporation,Incheon,Previous,Incheon National University _Principal university,405,222,185,8,19,10,0,0,183,67,116,0,0,106,46,0,68.5
2023,University,Private,Incheon,Previous,Inha University _Principal university,"1,886","1,219",880,26,302,10,1,0,667,402,265,0,0,279,501,0,64
2023,University,Private,Gyeongsangnam-do,Previous,Inje University _Principal university,489,165,138,6,21,0,0,0,324,311,13,0,0,73,0,0,44.2
2023,University,National,Jeju,Previous,Jeju National University _Principal university,338,192,108,48,25,8,3,0,146,124,22,0,0,106,0,0,55.2
2023,University,Private,Jeju,Previous,Jejuinternationaluniversity _Principal university,128,24,16,0,1,7,0,0,104,104,0,0,0,5,14,0,79.2
